Sample,Ch1,Ch2
0,-0.0010814950946951285,0.002634803648106754
1,0.0007444852963089943,-0.008762254990870133
2,0.0012530637468444183,0.9102941198507324
3,0.0020128676278545754,3.7003676295280457
4,0.0027450980014691595,6.190257370471954
5,0.002000612803385593,5.4443627297878265
6,0.0003002451194333844,1.8953431360423565
7,0.0004411765075928997,-0.2185049004619941
8,-0.0004350489975877281,1.8129902207292616
9,0.0018412990029901266,5.296078562736511
10,0.0020894607368973084,5.525551497936249
11,0.0003002450830535963,1.6952818845165893
12,-0.0009283087765652454,-1.6523897051811218
13,-0.0009313725386164151,-0.2661152333021164
14,0.0018566176240710774,4.271507352590561
15,0.003716298990184441,6.058517098426819
16,-0.0002481618021192844,2.4501226358115673
17,0.0001317401765845716,-2.43216909468174
18,-0.0009191176561671455,-2.458455864805728
19,0.0014185049058141885,2.652021997841075
20,0.0025704656345624244,6.577144622802734
21,0.0014767157408641651,4.145588230341673
22,0.0011243872504564933,-2.0582720413804054
23,-0.0007935048961371649,-4.532230377197266
24,0.0013112744945829036,0.06084555387496948
25,0.00376838244847022,6.299448668956757
26,0.0023682598548475653,6.348345577716827
27,0.001571691134813591,-0.047058820724487305
28,-0.0026439950524945743,-5.604166686534882
29,-0.002141544100595638,-3.38572309166193
30,0.003079044137848541,4.208762191236019
31,0.004699754925240995,8.064950942993164
32,0.003045343075427809,3.5750000812113285
33,-0.0009895833354676142,-4.362071022391319
34,-0.0026593137517920695,-6.411151945590973
35,-0.0001746323541738093,-0.05171568691730499
36,0.0027113970654681907,7.411029398441315
37,0.002751225449173944,7.155024528503418
38,-4.289216303732246e-05,-0.11642153561115265
39,-0.0018167892121709883,-6.6696078181266785
40,-0.00420343137193413,-4.943933829665184
41,-0.0012408088223310187,2.9814950451254845
42,0.0013357842690311372,8.310049057006836
43,0.0020955882137059234,5.318014673888683
44,-0.0018075980915455148,-2.337561286985874
45,-0.0032138480091816746,-6.653308749198914
46,-0.0036243872964405455,-3.314460799098015
47,0.0016881127721717348,3.8331494480371475
48,0.0021537989960052073,7.506924033164978
49,0.0009405636665178463,4.382597975432873
50,-0.0025490196458122227,-2.0525735206902027
51,-0.0032873774907784536,-5.6445465087890625
52,-0.0019669117318699136,-3.355637278407812
53,0.0006924019835423678,2.426286751870066
54,0.0016758578640292399,6.477818548679352
55,0.002628676491440274,5.372794091701508
56,0.0010416666773380712,0.09920346736907959
57,-0.0015104167250683531,-4.858823508024216
58,-0.0042861520519181795,-5.152757346630096
59,-0.0005667892910423689,-0.28002454340457916
60,0.0018290440930286422,5.703553944826126
61,0.0017677695796010084,7.3771445751190186
62,0.002068014713586308,3.0213235542178154
63,-0.0006035539299773518,-3.8211396783590317
64,-0.0014368872180057224,-6.930085778236389
65,-0.002395833311311435,-3.2899509593844414
66,-0.00028799017309211195,3.914828412234783
67,0.0013878676290914882,8.192095577716827
68,0.002221200928033795,5.761642098426819
69,-0.0016850490392243955,-0.914705902338028
70,-0.004163602949120104,-6.130637228488922
71,-0.002123161786585115,-5.652083247900009
72,-0.001155024589252207,-0.3014092892408371
73,0.0006862744485260919,5.394301474094391
74,0.0012101715647077071,7.207475423812866
75,-0.0001501225124229677,4.182230427861214
76,-0.0010539215654716827,-1.2707108408212662
77,-0.0005177695929887705,-5.401960730552673
78,-0.004932597978040576,-5.421997576951981
79,-0.0021537990744491253,-1.1034314036369324
80,0.0008425245323451236,4.7060049176216125
81,0.0014828431740170345,7.809129893779755
82,0.0012132352876506047,5.687499940395355
83,-0.0008700980524736224,-0.4264705926179886
84,-0.00248161763738608,-5.992524564266205
85,-0.00028492644833022496,-6.731740176677704
86,-0.0019883578715962358,-2.0949142705649137
87,0.001531862764750258,4.299509823322296
88,0.003226103025554039,7.807169139385223
89,0.004491421554121189,6.299019604921341
90,0.0004840686306124553,1.316911787725985
91,-0.002074142117635347,-3.8101715743541718
92,0.00023590686214447487,-6.151409387588501
93,-0.0013694852823391557,-4.546568602323532
94,0.0015196077802102081,0.03658086061477661
95,0.0026256127312080935,5.160477936267853
96,0.002656249991559889,7.825245141983032
97,0.003998161759227514,6.109375029802322
98,0.0023253676627064124,0.7168504893779755
