Sample,Ch1,Ch2
0,0.04852941259741783,-0.07107843458652496
1,0.21715685725212097,0.026960784569382668
2,-0.08382353186607361,-0.0024509804788976908
3,0.05882352963089943,2.4166667461395264
4,-0.01225490216165781,2.590686321258545
5,-0.07450980693101883,3.0392158031463623
6,0.08627451211214066,3.526960849761963
7,-0.08970588445663452,3.997549057006836
8,0.008333333767950535,4.438725471496582
9,-0.03382353112101555,4.906862735748291
10,-0.027941176667809486,5.316176414489746
11,-0.013725490309298038,5.794117450714111
12,-0.030882352963089943,6.090686321258545
13,-0.02450980432331562,6.421568393707275
14,-0.013235294260084629,6.661764621734619
15,-0.018627451732754707,6.835784435272217
16,-0.018627451732754707,6.919117450714111
17,-0.009313725866377354,6.970588207244873
18,-0.0034313725773245096,6.936274528503418
19,-0.04264706000685692,6.769608020782471
20,0.038235295563936234,6.607842922210693
21,-0.018627451732754707,6.338235378265381
22,0.0313725508749485,5.946078300476074
23,0.022058824077248573,5.536764621734619
24,0.022549020126461983,5.110294342041016
25,0.0313725508749485,4.600490093231201
26,0.03382353112101555,4.041666507720947
27,0.036274511367082596,3.507352828979492
28,0.036764707416296005,2.875
29,0.037745099514722824,2.2990195751190186
30,0.05245098099112511,1.75
31,0.04068627581000328,1.2352941036224365
32,0.046078432351350784,0.7328431606292725
33,0.045098040252923965,0.2696078419685364
34,0.037254903465509415,-0.10539215803146362
35,0.03333333507180214,-0.39950981736183167
36,0.027941176667809486,-0.6470588445663452
37,0.01666666753590107,-0.7990196347236633
38,0.022058824077248573,-0.8725489974021912
39,0.015196078456938267,-0.8602941036224365
40,0.013235294260084629,-0.7303921580314636
41,0.003921568859368563,-0.6078431606292725
42,-0.0117647061124444,-0.3382352888584137
43,-0.01225490216165781,0.08088235557079315
44,-0.009803921915590763,0.4313725531101227
45,-0.026470588520169258,0.9215686321258545
46,-0.027450980618596077,1.4142156839370728
47,-0.04068627581000328,2.024509906768799
48,-0.02450980432331562,2.5392158031463623
49,-0.045588236302137375,3.1421568393707275
50,-0.04117647185921669,3.75
51,-0.03970588371157646,4.242647171020508
52,-0.04019607976078987,4.81862735748291
53,-0.030392156913876534,5.301470756530762
54,-0.03382353112101555,5.723039150238037
55,-0.04411764815449715,6.088235378265381
56,-0.037254903465509415,6.348039150238037
57,-0.030392156913876534,6.605391979217529
58,-0.03333333507180214,6.715686321258545
59,-0.013235294260084629,6.740196228027344
60,-0.009313725866377354,6.676470756530762
61,-0.005392157007008791,6.48774528503418
62,-0.0034313725773245096,6.232842922210693
63,0.17990195751190186,5.909313678741455
64,0.5220588445663452,5.541666507720947
65,-0.44068628549575806,4.94362735748291
66,0.6308823823928833,4.44362735748291
67,-0.19362744688987732,3.7671568393707275
68,0.2647058963775635,3.129901885986328
69,0.021568628028035164,2.473039150238037
70,0.06617647409439087,1.7671568393707275
71,0.10490196198225021,1.1004902124404907
72,0.010784314014017582,0.3946078419685364
73,0.05147058889269829,-0.2083333283662796
74,0.08382353186607361,-0.7549019455909729
75,0.02450980432331562,-1.316176414489746
76,0.05980392172932625,-1.784313678741455
77,0.02500000037252903,-2.1372549533843994
78,0.029411764815449715,-2.3921568393707275
79,0.03235294297337532,-2.5735294818878174
80,0.015196078456938267,-2.6127450466156006
81,0.007843137718737125,-2.5735294818878174
82,0.003921568859368563,-2.433823585510254
83,-0.0019607844296842813,-2.149509906768799
84,-0.015196078456938267,-1.8014706373214722
85,-0.020588235929608345,-1.3848038911819458
86,-0.03431372717022896,-0.8921568393707275
87,-0.02598039247095585,-0.29901960492134094
88,-0.04215686395764351,0.37254902720451355
89,-0.045588236302137375,1.0367647409439087
90,-0.04019607976078987,1.7696079015731812
91,-0.04313725605607033,2.4779412746429443
92,-0.05686274543404579,3.1960785388946533
93,-0.045098040252923965,3.909313678741455
94,-0.06078431382775307,4.544117450714111
95,-0.05882352963089943,5.144608020782471
96,-0.046568628400564194,5.705882549285889
97,-0.05245098099112511,6.151960849761963
98,-0.044607844203710556,6.524509906768799
99,-0.035784315317869186,6.767157077789307
100,-0.028921568766236305,6.975490093231201
101,-0.03235294297337532,6.982842922210693
102,-0.029901960864663124,6.94362735748291
103,-0.01225490216165781,6.723039150238037
104,-0.013235294260084629,6.48774528503418
105,-0.007843137718737125,6.075980186462402
106,0.02549019642174244,5.578431606292725
107,0.019607843831181526,4.970588207244873
108,0.02401960827410221,4.333333492279053
109,0.07205882668495178,3.595588207244873
110,0.05147058889269829,2.786764621734619
111,0.04950980469584465,1.9901961088180542
112,0.061274509876966476,1.1813725233078003
113,0.0519607849419117,0.3333333432674408
114,0.053431373089551926,-0.47549018263816833
115,0.05784313753247261,-1.247549057006836
116,0.053921569138765335,-1.9436274766921997
117,0.061274509876966476,-2.5784313678741455
118,0.04803921654820442,-3.132352828979492
119,0.052941177040338516,-3.625
120,0.030882352963089943,-3.9583332538604736
121,0.038235295563936234,-4.073529243469238
122,0.021078431978821754,-4.232842922210693
123,0.007352941203862429,-4.191176414489746
124,0.009313725866377354,-4.06862735748291
125,-0.01617647148668766,-3.7990195751190186
126,-0.027941176667809486,-3.3627450466156006
127,-0.01715686358511448,-2.850490093231201
128,-0.036764707416296005,-2.284313678741455
129,-0.030392156913876534,-1.5710784196853638
130,-0.03235294297337532,-0.8357843160629272
131,-0.05882352963089943,0.03186274692416191
132,-0.03970588371157646,0.8480392098426819
133,-0.07941176742315292,1.7573529481887817
134,-0.04852941259741783,2.6666667461395264
135,-0.07107843458652496,3.5
136,-0.06029411777853966,4.355391979217529
137,-0.07107843458652496,5.11274528503418
138,-0.06323529779911041,5.821078300476074
139,-0.10294117778539658,6.394608020782471
140,-0.046568628400564194,6.884803771972656
141,-0.07696078717708588,7.284313678741455
142,-0.046568628400564194,7.517157077789307
143,-0.02549019642174244,7.708333492279053
144,-0.03431372717022896,7.676470756530762
145,-0.01715686358511448,7.544117450714111
146,0.0,7.218137264251709
147,0.00637254910543561,6.860294342041016
148,0.0117647061124444,6.303921699523926
149,0.023039216175675392,5.654411792755127
150,0.030882352963089943,4.879901885986328
151,0.030392156913876534,4.100490093231201
152,0.046078432351350784,3.161764621734619
153,0.05882352963089943,2.223039150238037
154,0.062745101749897,1.2622549533843994
155,0.06519608199596405,0.2916666567325592
156,0.06862745434045792,-0.7009803652763367
157,0.07205882668495178,-1.6617647409439087
158,0.062745101749897,-2.524509906768799
159,0.06715686619281769,-3.3578431606292725
160,0.05980392172932625,-4.024509906768799
161,0.05539215728640556,-4.674019813537598
162,0.044607844203710556,-5.095588207244873
163,0.037745099514722824,-5.475490093231201
164,0.023039216175675392,-5.705882549285889
165,0.02450980432331562,-5.791666507720947
166,0.013725490309298038,-5.691176414489746
167,0.008823529817163944,-5.460784435272217
168,-0.0024509804788976908,-5.102941036224365
169,-0.022549020126461983,-4.561274528503418
170,-0.026470588520169258,-3.938725471496582
171,-0.037745099514722824,-3.1715686321258545
172,-0.0470588244497776,-2.3602941036224365
173,-0.054901961237192154,-1.4313725233078003
174,-0.06029411777853966,-0.43382352590560913
175,-0.06666667014360428,0.5882353186607361
176,-0.07009804248809814,1.622549057006836
177,-0.07156863063573837,2.7083332538604736
178,-0.07549019902944565,3.6985294818878174
179,-0.08725490421056747,4.678921699523926
180,-0.08921568840742111,5.590686321258545
181,-0.0779411792755127,6.370098114013672
182,-0.07156863063573837,7.100490093231201
183,-0.06519608199596405,7.68137264251709
184,-0.05833333358168602,8.13725471496582
185,-0.04950980469584465,8.426470756530762
186,-0.037745099514722824,8.546568870544434
187,-0.04264706000685692,8.561274528503418
188,-0.00147058826405555,8.428921699523926
189,-0.014215686358511448,8.085783958435059
190,0.00637254910543561,7.573529243469238
191,0.008823529817163944,6.936274528503418
192,0.028921568766236305,6.230391979217529
193,0.03382353112101555,5.328431606292725
194,0.04215686395764351,4.404411792755127
195,0.06029411777853966,3.379901885986328
196,0.06029411777853966,2.2696077823638916
197,0.05882352963089943,1.1666666269302368
198,0.06617647409439087,-0.03186274692416191
199,0.0779411792755127,-1.122549057006836
200,0.06078431382775307,-2.2107841968536377
201,0.08039215952157974,-3.2352941036224365
202,0.07107843458652496,-4.188725471496582
203,0.06666667014360428,-5.029411792755127
204,0.061274509876966476,-5.720588207244873
205,0.06470588594675064,-6.308823585510254
