Sample,Ch1,Ch2
0,0.4578431248664856,-0.029411764815449715
1,-0.14460784196853638,0.0
2,0.05000000074505806,0.014705882407724857
3,0.9852941036224365,2.281862735748291
4,0.7078431248664856,2.651960849761963
5,0.679411768913269,3.0098040103912354
6,0.8965686559677124,3.5098040103912354
7,0.9897058606147766,3.9901959896087646
8,0.9911764860153198,4.404411792755127
9,1.045098066329956,4.865196228027344
10,1.1137255430221558,5.338235378265381
11,1.204901933670044,5.718137264251709
12,1.247549057006836,6.075980186462402
13,1.259313702583313,6.379901885986328
14,1.298039197921753,6.671568393707275
15,1.3132352828979492,6.811274528503418
16,1.3220587968826294,6.926470756530762
17,1.2990195751190186,6.933823585510254
18,1.2691175937652588,6.897058963775635
19,1.234313726425171,6.813725471496582
20,1.1710784435272217,6.585784435272217
21,1.0950980186462402,6.348039150238037
22,1.018627405166626,5.960784435272217
23,0.9313725233078003,5.563725471496582
24,0.8372548818588257,5.093137264251709
25,0.7127450704574585,4.625
26,0.6225489974021912,4.044117450714111
27,0.5034313797950745,3.497549057006836
28,0.39901959896087646,2.872549057006836
29,0.28921568393707275,2.3357841968536377
30,0.1921568661928177,1.784313678741455
31,0.09117647260427475,1.2745097875595093
32,0.013235294260084629,0.7647058963775635
33,-0.05245098099112511,0.30392158031463623
34,-0.11715686321258545,-0.08578431606292725
35,-0.1563725471496582,-0.3799019753932953
36,-0.18137255311012268,-0.6004902124404907
37,-0.1828431338071823,-0.7965686321258545
38,-0.19019608199596405,-0.8651960492134094
39,-0.16470588743686676,-0.9142156839370728
40,-0.125,-0.7671568393707275
41,-0.061274509876966476,-0.6004902124404907
42,-0.010784314014017582,-0.32107841968536377
43,0.07107843458652496,0.04411764815449715
44,0.1720588207244873,0.4436274468898773
45,0.26323530077934265,0.8872548937797546
46,0.37254902720451355,1.3872549533843994
47,0.4848039150238037,1.9166666269302368
48,0.5950980186462402,2.526960849761963
49,0.7098039388656616,3.066176414489746
50,0.811274528503418,3.688725471496582
51,0.9098039269447327,4.23774528503418
52,1.0019607543945312,4.764705657958984
53,1.0710784196853638,5.264705657958984
54,1.1372549533843994,5.68137264251709
55,1.2000000476837158,6.080882549285889
56,1.233823537826538,6.372549057006836
57,1.2397059202194214,6.553921699523926
58,1.2387255430221558,6.69362735748291
59,1.227450966835022,6.747549057006836
60,1.1828430891036987,6.671568393707275
61,1.134313702583313,6.485294342041016
62,1.0735293626785278,6.247549057006836
63,0.9862744808197021,5.894608020782471
64,0.8784313797950745,5.490196228027344
65,0.7632352709770203,5.01225471496582
66,0.6627451181411743,4.414215564727783
67,0.5230392217636108,3.7892158031463623
68,0.386274516582489,3.132352828979492
69,0.09460784494876862,2.4607841968536377
70,-0.22549019753932953,1.8848038911819458
71,-0.14901961386203766,1.284313678741455
72,0.17303921282291412,0.34558823704719543
73,-0.5823529362678528,-0.23284313082695007
74,-0.4431372582912445,-0.6838235259056091
75,-0.24117647111415863,-1.2598038911819458
76,-0.4696078300476074,-1.7990195751190186
77,-0.7534313797950745,-2.090686321258545
78,-0.6205882430076599,-2.348039150238037
79,-0.5441176295280457,-2.5
80,-0.772549033164978,-2.6053922176361084
81,-0.7431372404098511,-2.558823585510254
82,-0.6210784316062927,-2.438725471496582
83,-0.5156862735748291,-2.188725471496582
84,-0.4838235378265381,-1.8897058963775635
85,-0.42009803652763367,-1.438725471496582
86,-0.28480392694473267,-0.8921568393707275
87,-0.125,-0.3235294222831726
88,-0.00147058826405555,0.29411765933036804
89,0.11372549086809158,0.9975489974021912
90,0.260294109582901,1.7083333730697632
91,0.41470587253570557,2.4166667461395264
92,0.5303921699523926,3.1666667461395264
93,0.6514706015586853,3.848039150238037
94,0.7735294103622437,4.48774528503418
95,0.8759803771972656,5.125
96,0.9553921818733215,5.688725471496582
97,1.0220588445663452,6.13725471496582
98,1.0686274766921997,6.497549057006836
99,1.0980392694473267,6.779411792755127
100,1.0867646932601929,6.936274528503418
101,1.0715686082839966,7.031862735748291
102,1.0421568155288696,6.936274528503418
103,0.9735293984413147,6.767157077789307
104,0.8999999761581421,6.455882549285889
105,0.7985293865203857,6.093137264251709
106,0.6803921461105347,5.588235378265381
107,0.5549019575119019,4.982842922210693
108,0.4166666567325592,4.375
109,0.2710784375667572,3.6151959896087646
110,0.11715686321258545,2.870098114013672
111,-0.04215686395764351,2.0539214611053467
112,-0.20098039507865906,1.1813725233078003
113,-0.33725491166114807,0.3946078419685364
114,-0.4882352948188782,-0.4166666567325592
115,-0.6176470518112183,-1.188725471496582
116,-0.7367647290229797,-1.9264706373214722
117,-0.8284313678741455,-2.536764621734619
118,-0.9122549295425415,-3.0833332538604736
119,-0.9686274528503418,-3.5490195751190186
120,-1.006862759590149,-3.8946077823638916
121,-1.022549033164978,-4.115196228027344
122,-1.018627405166626,-4.208333492279053
123,-0.9691176414489746,-4.178921699523926
124,-0.9039215445518494,-4.05637264251709
125,-0.8470588326454163,-3.7990195751190186
126,-0.7323529124259949,-3.436274528503418
127,-0.6117647290229797,-2.870098114013672
128,-0.4740196168422699,-2.3039214611053467
129,-0.32598039507865906,-1.6470588445663452
130,-0.18872548639774323,-0.8602941036224365
131,-0.6779412031173706,-0.0416666679084301
132,0.6465686559677124,0.9509803652763367
133,0.20637254416942596,1.7916666269302368
134,0.7348039150238037,2.5171568393707275
135,0.7147058844566345,3.4191176891326904
136,0.8818627595901489,4.286764621734619
137,0.9259803891181946,5.078431606292725
138,1.2441176176071167,5.742647171020508
139,1.1749999523162842,6.335784435272217
140,1.1916667222976685,6.906862735748291
141,1.3225489854812622,7.26225471496582
142,1.3759803771972656,7.465686321258545
143,1.2789216041564941,7.674019813537598
144,1.2387255430221558,7.698529243469238
145,1.2294117212295532,7.55637264251709
146,1.1416666507720947,7.225490093231201
147,1.0019607543945312,6.857842922210693
148,0.8720588088035583,6.370098114013672
149,0.7392156720161438,5.644608020782471
150,0.5789215564727783,4.992647171020508
151,0.39313724637031555,4.120098114013672
152,0.20931372046470642,3.223039150238037
153,0.07352941483259201,2.284313678741455
154,-0.1769607812166214,1.3063725233078003
155,-0.32058823108673096,0.281862735748291
156,-0.5063725709915161,-0.6642156839370728
157,-0.6642156839370728,-1.5784313678741455
158,-0.8338235020637512,-2.4852941036224365
159,-0.947549045085907,-3.2941176891326904
160,-1.068137288093567,-3.997549057006836
161,-1.147549033164978,-4.600490093231201
162,-1.2004902362823486,-5.144608020782471
163,-1.243137240409851,-5.460784435272217
164,-1.246078372001648,-5.698529243469238
165,-1.2254902124404907,-5.730391979217529
166,-1.1710784435272217,-5.661764621734619
167,-1.1004902124404907,-5.509803771972656
168,-0.9838235378265381,-5.100490093231201
169,-0.8691176176071167,-4.56862735748291
170,-0.7107843160629272,-3.9509804248809814
171,-0.5490196347236633,-3.2107841968536377
172,-0.36715686321258545,-2.382352828979492
173,-0.1774509847164154,-1.4754902124404907
174,0.01568627543747425,-0.4803921580314636
175,0.22499999403953552,0.5710784196853638
176,0.4102941155433655,1.5784313678741455
177,0.6039215922355652,2.6372549533843994
178,0.783823549747467,3.683823585510254
179,0.9544117450714111,4.588235378265381
180,1.1019607782363892,5.526960849761963
181,1.2279411554336548,6.352941036224365
182,1.3318626880645752,7.022058963775635
183,1.4024510383605957,7.63725471496582
184,1.454901933670044,8.115196228027344
185,1.4598039388656616,8.416666984558105
186,1.4534313678741455,8.573529243469238
187,1.4102941751480103,8.519607543945312
188,1.3416666984558105,8.397058486938477
189,1.2421568632125854,8.073529243469238
190,1.1151961088180542,7.580882549285889
191,0.9715686440467834,6.98774528503418
192,0.7985293865203857,6.289215564727783
193,0.6078431606292725,5.401960849761963
194,0.4171568751335144,4.453431606292725
195,0.21960784494876862,3.401960849761963
196,-0.005392157007008791,2.3039214611053467
197,-0.22058823704719543,1.1666666269302368
198,-0.4313725531101227,0.01225490216165781
199,-0.6382352709770203,-1.031862735748291
200,-0.83186274766922,-2.1446077823638916
201,-0.9941176176071167,-3.1740195751190186
202,-1.4602941274642944,-4.223039150238037
203,-1.753921627998352,-4.953431606292725
204,-0.6808823347091675,-5.634803771972656
205,-1.7436274290084839,-6.360294342041016
206,-1.7397059202194214,-6.705882549285889
207,-1.4627450704574585,-6.973039150238037
208,-1.3892157077789307,-7.142157077789307
209,-1.568137288093567,-7.122549057006836
210,-1.4764705896377563,-6.882352828979492
211,-1.3191176652908325,-6.426470756530762
212,-1.1014705896377563,-5.950980186462402
213,-1.018627405166626,-5.30637264251709
214,-0.8563725352287292,-4.470588207244873
215,-0.6323529481887817,-3.5122549533843994
216,-0.38333332538604736,-2.4558823108673096
217,-0.18039216101169586,-1.3823529481887817
218,0.030392156913876534,-0.2034313678741455
219,0.2759803831577301,0.936274528503418
220,0.5044117569923401,2.1764705181121826
221,0.704901933670044,3.3848040103912354
222,0.8985294103622437,4.468137264251709
223,1.0617647171020508,5.541666507720947
224,1.2318627834320068,6.468137264251709
225,1.358823537826538,7.365196228027344
226,1.4450980424880981,8.102941513061523
227,1.522549033164978,8.698529243469238
228,1.5534313917160034,9.105392456054688
229,1.556862711906433,9.411765098571777
230,1.5308823585510254,9.477941513061523
231,1.4764705896377563,9.367647171020508
232,1.3799020051956177,9.08088207244873
233,1.2544118165969849,8.634803771972656
234,1.1044117212295532,8.051470756530762
235,0.9171568751335144,7.279411792755127
236,0.7666666507720947,6.497549057006836
237,0.5372549295425415,5.441176414489746
238,0.29362744092941284,4.38725471496582
239,0.07107843458652496,3.218137264251709
240,-0.15833333134651184,1.9509804248809814
241,-0.39950981736183167,0.7156862616539001
242,-0.6186274290084839,-0.5269607901573181
243,-0.8387255072593689,-1.784313678741455
244,-1.0416666269302368,-2.941176414489746
245,-1.2240196466445923,-4.026960849761963
246,-1.3730392456054688,-5.066176414489746
247,-1.5196079015731812,-5.933823585510254
248,-1.6127450466156006,-6.725490093231201
249,-1.691176414489746,-7.296568393707275
250,-1.7308824062347412,-7.76225471496582
251,-1.7240196466445923,-8.04411792755127
252,-1.7014706134796143,-8.151960372924805
253,-1.6362744569778442,-8.073529243469238
254,-1.535784363746643,-7.840686321258545
255,-1.410784363746643,-7.357842922210693
256,-1.2583333253860474,-6.764705657958984
257,-1.0725489854812622,-6.01225471496582
258,-0.8764705657958984,-5.107842922210693
259,-0.6607843041419983,-4.093137264251709
260,-0.44460785388946533,-2.968137264251709
261,-0.1774509847164154,-1.8284313678741455
262,0.05980392172932625,-0.5735294222831726
263,0.2955882251262665,0.7009803652763367
264,0.5382353067398071,2.0
265,0.761274516582489,3.247549057006836
266,0.9583333134651184,4.455882549285889
267,1.1529412269592285,5.573529243469238
268,1.3166667222976685,6.659313678741455
269,1.438725471496582,7.593137264251709
270,1.5490195751190186,8.394607543945312
271,1.6269607543945312,9.022058486938477
272,1.6632353067398071,9.514705657958984
273,1.660784363746643,9.803921699523926
274,1.6534314155578613,9.941176414489746
275,1.5911765098571777,9.872549057006836
276,1.5049020051956177,9.664216041564941
277,1.381862759590149,9.291666984558105
278,1.2220587730407715,8.708333015441895
279,1.0539215803146362,7.997549057006836
280,0.8519607782363892,7.095588207244873
281,0.6406862735748291,6.090686321258545
282,0.41470587253570557,5.007352828979492
283,0.1725490242242813,3.8308823108673096
284,-0.061274509876966476,2.5857841968536377
285,-0.3171568512916565,1.2941176891326904
286,-0.5485293865203857,0.0416666679084301
287,-0.7833333611488342,-1.2426470518112183
288,-0.9916666746139526,-2.4901959896087646
289,-1.1950980424880981,-3.6470587253570557
290,-1.368137240409851,-4.75
291,-1.5205882787704468,-5.68137264251709
292,-1.6357842683792114,-6.56862735748291
293,-1.7240196466445923,-7.220588207244873
294,-1.7901960611343384,-7.803921699523926
295,-1.8259804248809814,-8.25
296,-1.816176414489746,-8.414216041564941
297,-1.774999976158142,-8.40686321258545
298,-1.7004902362823486,-8.323529243469238
299,-1.6019607782363892,-8.014705657958984
