Sample,Ch1,Ch2
0,0.7137255072593689,0.007352941203862429
1,0.7465686202049255,-0.0049019609577953815
2,0.7803921699523926,0.8063725233078003
3,0.9926470518112183,2.4852941036224365
4,1.7230392694473267,3.1102941036224365
5,1.1142157316207886,3.411764621734619
6,1.08627450466156,3.840686321258545
7,1.984313726425171,4.294117450714111
8,1.641176462173462,4.634803771972656
9,1.6303921937942505,5.049019813537598
10,1.811274528503418,5.531862735748291
11,1.909313678741455,5.94362735748291
12,1.9637254476547241,6.25
13,1.9901961088180542,6.463235378265381
14,1.9892157316207886,6.75
15,2.07401967048645,6.904411792755127
16,2.1132352352142334,6.965686321258545
17,2.1029412746429443,6.990196228027344
18,2.06862735748291,6.875
19,2.021568536758423,6.776960849761963
20,2.039705991744995,6.539215564727783
21,1.9553921222686768,6.200980186462402
22,1.8872549533843994,5.821078300476074
23,1.8049019575119019,5.340686321258545
24,1.7446078062057495,4.875
25,1.649999976158142,4.367647171020508
26,1.534313678741455,3.7892158031463623
27,1.4284313917160034,3.223039150238037
28,1.3436274528503418,2.651960849761963
29,1.2254902124404907,2.117647171020508
30,1.125,1.5367647409439087
31,1.0352941751480103,1.029411792755127
32,0.9382352828979492,0.5735294222831726
33,0.8602941036224365,0.1200980395078659
34,0.7774509787559509,-0.2181372493505478
35,0.7166666388511658,-0.563725471496582
36,0.6622549295425415,-0.7401960492134094
37,0.625,-0.8333333134651184
38,0.6117647290229797,-0.9093137383460999
39,0.6004902124404907,-0.8186274766921997
40,0.6220588088035583,-0.7058823704719543
41,0.6495097875595093,-0.5122548937797546
42,0.6906862854957581,-0.18627451360225677
43,0.7436274290084839,0.20098039507865906
44,0.8122549057006836,0.5833333134651184
45,0.9009804129600525,1.1078431606292725
46,0.9745097756385803,1.5980392694473267
47,1.0710784196853638,2.218137264251709
48,1.1857843399047852,2.7941176891326904
49,1.2745097875595093,3.372549057006836
50,1.3799020051956177,3.93137264251709
51,1.4754902124404907,4.468137264251709
52,1.5710784196853638,5.031862735748291
53,1.659313678741455,5.504901885986328
54,1.7357842922210693,5.938725471496582
55,1.8147058486938477,6.254901885986328
56,1.8598039150238037,6.458333492279053
57,1.8921568393707275,6.664215564727783
58,1.9122549295425415,6.718137264251709
59,1.9289215803146362,6.723039150238037
60,1.916176438331604,6.620098114013672
61,1.893627405166626,6.441176414489746
